Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
ostmann-heavy-tee,OSTMANN Heavy Tee,"<p>Ein schwarzes Tee mit ruhiger, weißer Wortmarke. Geplant sind ein relaxed Fit und ca. 220–250 g/m². Material, Maße und Ausführung werden nach dem Mustertest bestätigt.</p><p>Designkonzept. Noch nicht bestellbar. Geplanter Endpreis.</p>",OST.,,T-Shirt,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,XS,OST-001-OSTMANN-HEAVY-TEE-XS,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostmann-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,S,OST-001-OSTMANN-HEAVY-TEE-S,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostmann-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,M,OST-001-OSTMANN-HEAVY-TEE-M,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostmann-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,L,OST-001-OSTMANN-HEAVY-TEE-L,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostmann-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,XL,OST-001-OSTMANN-HEAVY-TEE-XL,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostmann-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,XXL,OST-001-OSTMANN-HEAVY-TEE-XXL,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostmann-heavy-hoodie,OSTMANN Heavy Hoodie,<p>Ein schwarzer Hoodie als Kern des ersten Drops. Ziel sind ein schwerer Stoff und ein entspannter Schnitt. Die genaue Ausführung folgt nach dem Mustertest.</p><p>Designkonzept. Noch nicht bestellbar. Geplanter Endpreis.</p>,OST.,,Hoodie,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,XS,OST-001-OSTMANN-HEAVY-HOODIE-XS,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostmann-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,S,OST-001-OSTMANN-HEAVY-HOODIE-S,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostmann-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,M,OST-001-OSTMANN-HEAVY-HOODIE-M,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostmann-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,L,OST-001-OSTMANN-HEAVY-HOODIE-L,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostmann-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,XL,OST-001-OSTMANN-HEAVY-HOODIE-XL,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostmann-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,XXL,OST-001-OSTMANN-HEAVY-HOODIE-XXL,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostmann-cap,OSTMANN Cap,"<p>Ein klares Zeichen im Alltag. Schwarz, mit weißer Wortmarke. Stickverfahren und Passform werden nach dem Mustertest festgelegt.</p><p>Designkonzept. Noch nicht bestellbar. Geplanter Endpreis.</p>",OST.,,Cap,"ost-drop-001,ost-line-ostmann,ost-waitlist",FALSE,Größe,One Size,OST-001-OSTMANN-CAP-One Size,shopify,0,deny,manual,32.90,TRUE,TRUE,draft
ostfrau-heavy-tee,OSTFRAU Heavy Tee,"<p>Ein schwarzes Tee mit ruhiger, weißer Wortmarke. Geplant sind ein relaxed Fit und ca. 220–250 g/m². Material, Maße und Ausführung werden nach dem Mustertest bestätigt.</p><p>Designkonzept. Noch nicht bestellbar. Geplanter Endpreis.</p>",OST.,,T-Shirt,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,XS,OST-001-OSTFRAU-HEAVY-TEE-XS,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostfrau-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,S,OST-001-OSTFRAU-HEAVY-TEE-S,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostfrau-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,M,OST-001-OSTFRAU-HEAVY-TEE-M,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostfrau-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,L,OST-001-OSTFRAU-HEAVY-TEE-L,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostfrau-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,XL,OST-001-OSTFRAU-HEAVY-TEE-XL,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostfrau-heavy-tee,,,OST.,,T-Shirt,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,XXL,OST-001-OSTFRAU-HEAVY-TEE-XXL,shopify,0,deny,manual,39.90,TRUE,TRUE,draft
ostfrau-heavy-hoodie,OSTFRAU Heavy Hoodie,<p>Ein schwarzer Hoodie als Kern des ersten Drops. Ziel sind ein schwerer Stoff und ein entspannter Schnitt. Die genaue Ausführung folgt nach dem Mustertest.</p><p>Designkonzept. Noch nicht bestellbar. Geplanter Endpreis.</p>,OST.,,Hoodie,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,XS,OST-001-OSTFRAU-HEAVY-HOODIE-XS,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostfrau-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,S,OST-001-OSTFRAU-HEAVY-HOODIE-S,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostfrau-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,M,OST-001-OSTFRAU-HEAVY-HOODIE-M,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostfrau-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,L,OST-001-OSTFRAU-HEAVY-HOODIE-L,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostfrau-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,XL,OST-001-OSTFRAU-HEAVY-HOODIE-XL,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostfrau-heavy-hoodie,,,OST.,,Hoodie,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,XXL,OST-001-OSTFRAU-HEAVY-HOODIE-XXL,shopify,0,deny,manual,74.90,TRUE,TRUE,draft
ostfrau-cap,OSTFRAU Cap,"<p>Ein klares Zeichen im Alltag. Schwarz, mit weißer Wortmarke. Stickverfahren und Passform werden nach dem Mustertest festgelegt.</p><p>Designkonzept. Noch nicht bestellbar. Geplanter Endpreis.</p>",OST.,,Cap,"ost-drop-001,ost-line-ostfrau,ost-waitlist",FALSE,Größe,One Size,OST-001-OSTFRAU-CAP-One Size,shopify,0,deny,manual,32.90,TRUE,TRUE,draft
ost-bucket-hat,OST. Bucket Hat,"<p>Produktidee für Drop 001. Design, Material und Ausführung sind in Entwicklung. Noch nicht bestellbar.</p>",OST.,,Bucket Hat,"ost-drop-001,ost-line-unisex,ost-waitlist",FALSE,Größe,One Size,OST-001-OST-BUCKET-HAT-One Size,shopify,0,deny,manual,29.90,TRUE,TRUE,draft
ost-gymbag,OST. Gymbag,"<p>Produktidee für Drop 001. Design, Material und Ausführung sind in Entwicklung. Noch nicht bestellbar.</p>",OST.,,Gymbag,"ost-drop-001,ost-line-unisex,ost-waitlist",FALSE,Größe,One Size,OST-001-OST-GYMBAG-One Size,shopify,0,deny,manual,22.90,TRUE,TRUE,draft
ost-tote-bag,OST. Tote Bag,"<p>Produktidee für Drop 001. Design, Material und Ausführung sind in Entwicklung. Noch nicht bestellbar.</p>",OST.,,Tote Bag,"ost-drop-001,ost-line-unisex,ost-waitlist",FALSE,Größe,One Size,OST-001-OST-TOTE-BAG-One Size,shopify,0,deny,manual,19.90,TRUE,TRUE,draft
